EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Time
50	1	1	60	141	1	9	45	0.696856	
51	1	1	60	153	1	7	45	0.464746	
52	1	1	60	75	1	10	45	0.375877	
54	1	1	60	49	1	8	45	0.427964	
55	1	1	60	93	1	3	45	0.363484	
56	1	1	60	57	1	7	45	0.480819	
57	1	1	60	6	1	10	45	0.399009	
58	1	1	60	10	1	4	45	0.350322	
61	1	1	60	186	1	7	45	0.719384	
62	1	1	60	106	1	10	45	0.351017	
63	1	1	60	65	1	10	45	0.293294	
64	1	1	60	76	1	3	45	0.621696	
65	1	1	60	10	1	2	45	0.389813	
66	1	1	60	24	1	8	45	0.280834	
67	1	1	60	5	1	10	45	0.286518	
68	1	1	0	30	3	10	45	0.415056	
68	2	1	60	30	1	10	45	0.415401	
70	1	1	60	1	1	9	45	0.288422	
71	1	1	60	17	1	10	45	0.313024	
73	1	1	60	13	1	10	45	0.357872	
74	1	1	0	73	4	10	45	0.32783	
75	1	1	60	109	1	3	45	0.346205	
77	1	1	60	143	1	10	45	0.412896	
78	1	1	60	169	1	1	45	0.600427	
79	1	1	60	41	1	1	45	0.37984	
80	1	1	0	2	4	10	45	0.29804	
80	2	1	60	114	1	3	45	0.670782	
81	1	1	60	8	1	1	45	0.30076	
82	1	1	60	74	1	6	45	0.415865	
84	1	1	0	4	3	10	45	0.349188	
84	2	1	60	4	1	10	45	0.349392	
85	1	1	60	178	1	4	45	0.65716	
86	1	1	60	14	1	7	45	0.375308	
87	1	1	60	69	1	10	45	0.287752	
88	1	1	60	80	1	5	45	0.447789	
89	1	1	60	65	1	10	45	0.505605	
91	1	1	60	9	1	10	45	0.27114	
94	1	1	60	108	1	1	45	0.673991	
96	1	1	60	50	1	5	45	0.544203	
97	1	1	0	115	4	10	45	0.411516	
97	2	1	60	138	1	6	45	0.49361	
98	1	1	60	106	1	1	45	0.626699	
99	1	1	60	10	1	10	45	0.346273	
100	1	1	1.33002	190	2	1	45	0.62136	
100	2	1	58.67	190	1	1	45	0.621506	
101	1	1	60	128	1	3	45	0.436105	
102	1	1	60	21	1	10	45	0.246418	
103	1	1	60	50	1	2	45	0.292817	
104	1	1	60	139	1	10	45	0.439556	
105	1	1	60	89	1	10	45	0.300364	
107	1	1	0	37	3	2	45	0.409251	
107	2	1	60	37	1	2	45	0.409275	
109	1	1	60	151	1	2	45	0.700609	
110	1	1	60	104	1	10	45	0.404351	
111	1	1	60	139	1	2	45	0.414327	
112	1	1	60	30	1	3	45	0.387254	
114	1	1	60	34	1	10	45	0.325817	
115	1	1	60	93	1	10	45	0.471332	
116	1	1	60	9	1	8	45	0.433832	
117	1	1	60	186	1	1	45	0.71106	
118	1	1	60	3	1	6	45	0.287646	
119	1	1	60	46	1	10	45	0.329683	
121	1	1	60	174	1	6	45	0.518268	
122	1	1	60	93	1	10	45	0.314603	
123	1	1	60	21	1	8	45	0.43391	
124	1	1	60	45	1	2	45	0.404019	
